0.86564,0.15257,0.23623,0.74493,0.50456,0.55051,0.34841,0.21128,0.90614,0.97165
0.16423,0.56723,0.23772,0.99789,0.55461,0.27846,0.77124,0.05473,0.09857,0.96941
0.97455,0.45859,0.06085,0.6188,0.7834,0.57788,0.97096,0.77831,0.56211,0.50419
0.76692,0.76913,0.78122,0.5404,0.71022,0.97851,0.16242,0.44355,0.35771,0.81409
0.00746,0.14005,0.87911,0.6673,0.27852,0.28881,0.06356,0.57789,0.16996,0.32969
0.69663,0.41242,0.11752,0.1538,0.49472,0.411,0.96547,0.75726,0.2026,0.58569
0.82699,0.4512,0.29696,0.32551,0.6253,0.56104,0.49157,0.22156,0.47906,0.60674
0.51031,0.97043,0.95651,0.29662,0.01681,0.40682,0.6064,0.82965,0.49776,0.01792
0.22948,0.46038,0.13971,0.76782,0.48623,0.04753,0.42221,0.54087,0.73072,0.452
0.04288,0.99429,0.21634,0.17951,0.11382,0.2595,0.19086,0.48132,0.43864,0.57391
